,session_ID,Garage_ID,User_ID,User_type,Shared_ID,Start_plugin,Start_plugin_hour,End_plugout,End_plugout_hour,El_kWh,Duration_hours,month_plugin,weekdays_plugin,Plugin_category,Duration_category,end_soc,start_soc,start_day_idx,end_day_idx,delta_t,delta_soc_rounded
17,18,Bl2,Bl2-4,Private,,2019-01-05 18:04:00,18,2019-01-06 17:39:00,17.0,14.77,23.583333333333332,Jan,Saturday,early evening (18-21),More than 18 hours,1,0.817,108,249,141,0.18
18,19,AdO1,AdO1-2,Private,,2019-01-05 20:06:00,20,2019-01-06 13:23:00,13.0,10.46,17.283333333333335,Jan,Saturday,early evening (18-21),Between 15 and 18 hours,1,0.871,120,224,104,0.12
19,20,AdO1,AdO1-2,Private,,2019-01-06 18:02:00,18,2019-01-06 21:31:00,21.0,3.92,3.4833333333333334,Jan,Sunday,early evening (18-21),Between 3 and 6 hours,1,0.952,108,129,21,0.04
21,22,AdO1,AdO1-2,Private,,2019-01-07 20:05:00,20,2019-01-08 10:05:00,10.0,6.14,14.0,Jan,Monday,early evening (18-21),Between 12 and 15 hours,1,0.924,120,204,84,0.08
22,23,AdO1,AdO1-2,Private,,2019-01-08 19:28:00,19,2019-01-09 12:01:00,12.0,5.34,16.55,Jan,Tuesday,early evening (18-21),Between 15 and 18 hours,1,0.934,116,216,100,0.06
23,24,Bl2,Bl2-4,Private,,2019-01-09 16:46:00,16,2019-01-10 10:20:00,10.0,18.7,17.566666666666666,Jan,Wednesday,late afternoon (15-18),Between 15 and 18 hours,1,0.769,100,206,106,0.24
24,25,AdO1,AdO1-2,Private,,2019-01-09 20:59:00,20,2019-01-10 15:19:00,15.0,10.38,18.333333333333332,Jan,Wednesday,early evening (18-21),More than 18 hours,1,0.872,125,235,110,0.12
28,29,AdO1,AdO1-2,Private,,2019-01-10 23:32:00,23,2019-01-11 18:10:00,18.0,8.35,18.633333333333333,Jan,Thursday,late evening (21-midnight),More than 18 hours,1,0.897,141,253,112,0.1
29,30,UT9,Share-12,Shared,Shared-12,2019-01-11 15:12:00,15,2019-01-11 17:07:00,17.0,11.7,1.9166666666666667,Jan,Friday,late afternoon (15-18),Less than 3 hours,1,0.855,91,102,11,0.14
30,31,AsO2,Share-4,Shared,Shared-5,2019-01-11 17:13:00,17,2019-01-11 21:43:00,21.0,7.28,4.5,Jan,Friday,late afternoon (15-18),Between 3 and 6 hours,1,0.91,103,130,27,0.1
31,32,Bl2,Share-8,Shared,Shared-6,2019-01-11 18:54:00,18,2019-01-12 09:47:00,9.0,16.79,14.883333333333333,Jan,Friday,early evening (18-21),Between 12 and 15 hours,1,0.792,113,202,89,0.2
32,33,UT9,Share-12,Shared,Shared-12,2019-01-11 20:34:00,20,2019-01-11 22:56:00,22.0,14.63,2.3666666666666667,Jan,Friday,early evening (18-21),Less than 3 hours,1,0.819,123,137,14,0.18
33,34,AsO2,Share-4,Shared,Shared-5,2019-01-12 12:23:00,12,2019-01-12 13:58:00,13.0,5.51,1.5833333333333333,Jan,Saturday,early afternoon (12-15),Less than 3 hours,1,0.932,74,83,9,0.06
34,35,UT9,Share-12,Shared,Shared-12,2019-01-12 13:36:00,13,2019-01-12 15:32:00,15.0,11.99,1.9333333333333333,Jan,Saturday,early afternoon (12-15),Less than 3 hours,1,0.852,81,93,12,0.14
35,36,AsO2,Share-4,Shared,Shared-5,2019-01-12 15:29:00,15,2019-01-12 18:09:00,18.0,6.56,2.6666666666666665,Jan,Saturday,late afternoon (15-18),Less than 3 hours,1,0.919,92,108,16,0.08
36,37,UT9,Share-14,Shared,Shared-12,2019-01-12 15:53:00,15,2019-01-12 21:21:00,21.0,19.0,5.466666666666667,Jan,Saturday,late afternoon (15-18),Between 3 and 6 hours,1,0.765,95,128,33,0.24
38,39,AdO3,AdO3-2,Private,,2019-01-12 21:43:00,21,2019-01-13 14:13:00,14.0,16.5,16.5,Jan,Saturday,late evening (21-midnight),Between 15 and 18 hours,1,0.796,130,229,99,0.2
39,40,AsO2,Share-4,Shared,Shared-5,2019-01-13 12:27:00,12,2019-01-13 16:16:00,16.0,5.72,3.816666666666667,Jan,Sunday,early afternoon (12-15),Between 3 and 6 hours,1,0.929,74,97,23,0.08
40,41,UT9,Share-12,Shared,Shared-12,2019-01-13 13:30:00,13,2019-01-13 16:23:00,16.0,14.4,2.8833333333333333,Jan,Sunday,early afternoon (12-15),Less than 3 hours,1,0.822,81,98,17,0.18
41,42,Bl2,Share-8,Shared,Shared-6,2019-01-13 15:01:00,15,2019-01-13 18:20:00,18.0,18.48,3.316666666666667,Jan,Sunday,late afternoon (15-18),Between 3 and 6 hours,1,0.771,90,110,20,0.22
42,43,AdO3,AdO3-2,Private,,2019-01-13 17:07:00,17,2019-01-14 12:53:00,12.0,13.88,19.766666666666666,Jan,Sunday,late afternoon (15-18),More than 18 hours,1,0.828,102,221,119,0.18
43,44,Bl2,Bl2-4,Private,,2019-01-14 18:53:00,18,2019-01-15 10:06:00,10.0,14.21,15.216666666666667,Jan,Monday,early evening (18-21),Between 15 and 18 hours,1,0.824,113,204,91,0.18
44,45,UT9,Share-12,Shared,Shared-12,2019-01-14 19:52:00,19,2019-01-15 06:37:00,6.0,27.24,10.75,Jan,Monday,early evening (18-21),Between 9 and 12 hours,1,0.663,119,183,64,0.34
45,46,AdO1,AdO1-2,Private,,2019-01-14 21:05:00,21,2019-01-15 13:33:00,13.0,4.09,16.466666666666665,Jan,Monday,late evening (21-midnight),Between 15 and 18 hours,1,0.949,126,225,99,0.06
46,47,AdO1,AdO1-2,Private,,2019-01-15 15:28:00,15,2019-01-15 17:12:00,17.0,3.97,1.7333333333333334,Jan,Tuesday,late afternoon (15-18),Less than 3 hours,1,0.951,92,103,11,0.04
47,48,AdO3,AdO3-4,Private,,2019-01-15 18:39:00,18,2019-01-16 08:24:00,8.0,15.47,13.75,Jan,Tuesday,early evening (18-21),Between 12 and 15 hours,1,0.809,111,194,83,0.2
48,49,AdO1,AdO1-2,Private,,2019-01-15 19:57:00,19,2019-01-16 10:15:00,10.0,5.29,14.3,Jan,Tuesday,early evening (18-21),Between 12 and 15 hours,1,0.935,119,205,86,0.06
49,50,Bl2,Bl2-2,Shared,Shared-6,2019-01-15 22:41:00,22,2019-01-16 07:52:00,7.0,14.61,9.183333333333334,Jan,Tuesday,late evening (21-midnight),Between 9 and 12 hours,1,0.819,136,191,55,0.18
50,51,Bl2,Share-8,Shared,Shared-7,2019-01-15 23:32:00,23,2019-01-16 11:08:00,11.0,22.31,11.6,Jan,Tuesday,late evening (21-midnight),Between 9 and 12 hours,1,0.724,141,210,69,0.28
53,54,UT9,Share-14,Shared,Shared-12,2019-01-17 12:51:00,12,2019-01-17 13:51:00,13.0,3.67,1.0,Jan,Thursday,early afternoon (12-15),Less than 3 hours,1,0.955,77,83,6,0.04
54,55,AdO3,AdO3-4,Private,,2019-01-17 17:39:00,17,2019-01-18 15:16:00,15.0,30.2,21.616666666666667,Jan,Thursday,late afternoon (15-18),More than 18 hours,1,0.627,105,235,130,0.38
55,56,AdO1,AdO1-2,Private,,2019-01-17 18:56:00,18,2019-01-18 18:20:00,18.0,9.25,23.4,Jan,Thursday,early evening (18-21),More than 18 hours,1,0.886,113,254,141,0.12
56,57,Bl2,Share-8,Shared,Shared-6,2019-01-17 22:16:00,22,2019-01-18 10:16:00,10.0,25.62,12.0,Jan,Thursday,late evening (21-midnight),Between 12 and 15 hours,1,0.683,133,205,72,0.32
57,58,UT9,Share-14,Shared,Shared-12,2019-01-17 22:48:00,22,2019-01-18 05:38:00,5.0,18.29,6.833333333333333,Jan,Thursday,late evening (21-midnight),Between 6 and 9  hours,1,0.774,136,177,41,0.22
60,61,Bl2,Bl2-4,Private,,2019-01-18 15:39:00,15,2019-01-19 10:47:00,10.0,20.53,19.133333333333333,Jan,Friday,late afternoon (15-18),More than 18 hours,1,0.746,93,208,115,0.26
61,62,UT9,Share-6,Shared,Shared-12,2019-01-18 22:33:00,22,2019-01-19 01:18:00,1.0,16.71,2.75,Jan,Friday,late evening (21-midnight),Less than 3 hours,1,0.793,135,151,16,0.2
62,63,Bl2,Share-8,Shared,Shared-6,2019-01-18 23:35:00,23,2019-01-19 04:00:00,4.0,13.06,4.416666666666667,Jan,Friday,late evening (21-midnight),Between 3 and 6 hours,1,0.838,141,168,27,0.16
63,64,AsO2,Share-4,Shared,Shared-5,2019-01-19 13:07:00,13,2019-01-19 16:35:00,16.0,8.79,3.466666666666667,Jan,Saturday,early afternoon (12-15),Between 3 and 6 hours,1,0.891,78,99,21,0.1
64,65,UT9,Share-12,Shared,Shared-12,2019-01-19 14:16:00,14,2019-01-19 19:47:00,19.0,29.73,5.516666666666667,Jan,Saturday,early afternoon (12-15),Between 3 and 6 hours,1,0.632,85,118,33,0.36
65,66,UT9,Share-6,Shared,Shared-12,2019-01-19 22:27:00,22,2019-01-20 00:57:00,0.0,14.84,2.5,Jan,Saturday,late evening (21-midnight),Less than 3 hours,1,0.816,134,149,15,0.18
66,67,Bl2,Bl2-2,Shared,Shared-6,2019-01-20 21:21:00,21,2019-01-21 10:14:00,10.0,19.43,12.883333333333333,Jan,Sunday,late evening (21-midnight),Between 12 and 15 hours,1,0.76,128,205,77,0.24
67,68,UT9,Share-12,Shared,Shared-12,2019-01-21 15:57:00,15,2019-01-21 18:40:00,18.0,16.65,2.716666666666667,Jan,Monday,late afternoon (15-18),Less than 3 hours,1,0.794,95,112,17,0.2
69,70,UT9,Share-12,Shared,Shared-12,2019-01-22 14:36:00,14,2019-01-22 18:39:00,18.0,24.36,4.05,Jan,Tuesday,early afternoon (12-15),Between 3 and 6 hours,1,0.699,87,111,24,0.3
70,71,Bl2,Share-8,Shared,Shared-6,2019-01-22 18:52:00,18,2019-01-22 23:13:00,23.0,18.47,4.35,Jan,Tuesday,early evening (18-21),Between 3 and 6 hours,1,0.772,113,139,26,0.22
71,72,UT9,Share-14,Shared,Shared-12,2019-01-23 11:48:00,11,2019-01-23 12:48:00,12.0,2.92,1.0,Jan,Wednesday,late morning (9-12),Less than 3 hours,1,0.964,70,76,6,0.04
72,73,UT9,Share-12,Shared,Shared-12,2019-01-23 15:57:00,15,2019-01-23 20:50:00,20.0,20.48,4.883333333333334,Jan,Wednesday,late afternoon (15-18),Between 3 and 6 hours,1,0.747,95,125,30,0.26
73,74,Bl2,Bl2-4,Private,,2019-01-23 19:00:00,19,2019-01-24 05:17:00,5.0,15.66,10.283333333333333,Jan,Wednesday,early evening (18-21),Between 9 and 12 hours,1,0.806,114,175,61,0.2
74,75,UT9,Share-14,Shared,Shared-12,2019-01-23 21:43:00,21,2019-01-24 04:10:00,4.0,19.25,6.45,Jan,Wednesday,late evening (21-midnight),Between 6 and 9  hours,1,0.762,130,169,39,0.24
75,76,AsO2,Share-4,Shared,Shared-5,2019-01-24 16:33:00,16,2019-01-25 00:14:00,0.0,6.9,7.683333333333334,Jan,Thursday,late afternoon (15-18),Between 6 and 9  hours,1,0.915,99,145,46,0.08
76,77,Bl2,Share-8,Shared,Shared-6,2019-01-24 22:15:00,22,2019-01-25 07:29:00,7.0,18.47,9.233333333333333,Jan,Thursday,late evening (21-midnight),Between 9 and 12 hours,1,0.772,133,188,55,0.22
77,78,Bl2,Bl2-2,Shared,Shared-6,2019-01-25 13:29:00,13,2019-01-25 14:47:00,14.0,4.39,1.3,Jan,Friday,early afternoon (12-15),Less than 3 hours,1,0.946,80,88,8,0.06
83,84,AsO2,Share-4,Shared,Shared-5,2019-01-25 16:47:00,16,2019-01-25 21:34:00,21.0,7.31,4.783333333333333,Jan,Friday,late afternoon (15-18),Between 3 and 6 hours,1,0.91,100,129,29,0.1
86,87,UT9,Share-12,Shared,Shared-12,2019-01-25 18:01:00,18,2019-01-26 10:34:00,10.0,27.02,16.55,Jan,Friday,early evening (18-21),Between 15 and 18 hours,1,0.666,108,207,99,0.34
87,88,Bl2,Bl2-1,Private,,2019-01-25 19:40:00,19,2019-01-26 12:58:00,12.0,10.6,17.3,Jan,Friday,early evening (18-21),Between 15 and 18 hours,1,0.869,118,221,103,0.14
88,89,Bl2,Bl2-2,Shared,Shared-6,2019-01-25 20:20:00,20,2019-01-26 00:22:00,0.0,14.63,4.033333333333333,Jan,Friday,early evening (18-21),Between 3 and 6 hours,1,0.819,122,146,24,0.18
89,90,AsO2,Share-4,Shared,Shared-5,2019-01-26 09:28:00,9,2019-01-26 10:57:00,10.0,2.59,1.4833333333333334,Jan,Saturday,late morning (9-12),Less than 3 hours,1,0.968,56,65,9,0.04
90,91,Bl2,Bl2-2,Shared,Shared-6,2019-01-26 15:27:00,15,2019-01-27 09:57:00,9.0,20.57,18.5,Jan,Saturday,late afternoon (15-18),More than 18 hours,1,0.746,92,203,111,0.26
92,93,Bl2,Bl2-1,Private,,2019-01-26 18:47:00,18,2019-01-27 04:00:00,4.0,15.46,9.216666666666667,Jan,Saturday,early evening (18-21),Between 9 and 12 hours,1,0.809,112,168,56,0.2
93,94,Bl2,Share-8,Shared,Shared-7,2019-01-26 19:02:00,19,2019-01-27 08:35:00,8.0,19.11,13.55,Jan,Saturday,early evening (18-21),Between 12 and 15 hours,1,0.764,114,195,81,0.24
94,95,Bl2,Bl2-1,Private,,2019-01-27 04:00:00,4,2019-01-27 09:53:00,9.0,0.94,5.883333333333334,Jan,Sunday,late night (3-6),Between 3 and 6 hours,1,0.988,24,59,35,0.02
95,96,UT9,Share-12,Shared,Shared-12,2019-01-27 14:08:00,14,2019-01-27 18:11:00,18.0,24.05,4.05,Jan,Sunday,early afternoon (12-15),Between 3 and 6 hours,1,0.703,84,109,25,0.3
96,97,UT9,Share-6,Shared,Shared-11,2019-01-27 17:53:00,17,2019-01-27 21:53:00,21.0,22.78,4.0,Jan,Sunday,late afternoon (15-18),Between 3 and 6 hours,1,0.718,107,131,24,0.28
97,98,UT9,Share-12,Shared,Shared-12,2019-01-27 18:11:00,18,2019-01-27 19:47:00,19.0,1.55,1.6,Jan,Sunday,early evening (18-21),Less than 3 hours,1,0.981,109,118,9,0.02
98,99,Bl2,Bl2-2,Shared,Shared-6,2019-01-27 19:33:00,19,2019-01-28 07:24:00,7.0,16.49,11.85,Jan,Sunday,early evening (18-21),Between 9 and 12 hours,1,0.796,117,188,71,0.2
99,100,Bl2,Share-8,Shared,Shared-7,2019-01-27 23:45:00,23,2019-01-28 09:55:00,9.0,15.59,10.166666666666666,Jan,Sunday,late evening (21-midnight),Between 9 and 12 hours,1,0.807,142,203,61,0.2
100,101,UT9,Share-14,Shared,Shared-12,2019-01-28 11:00:00,11,2019-01-28 13:54:00,13.0,10.64,2.9,Jan,Monday,late morning (9-12),Less than 3 hours,1,0.868,66,83,17,0.14
101,102,Bl2,Bl2-2,Private,,2019-01-28 18:37:00,18,2019-01-29 11:32:00,11.0,6.99,16.916666666666668,Jan,Monday,early evening (18-21),Between 15 and 18 hours,1,0.914,111,213,102,0.08
102,103,Bl2,Bl2-1,Private,,2019-01-28 19:18:00,19,2019-01-28 22:38:00,22.0,9.06,3.3333333333333335,Jan,Monday,early evening (18-21),Between 3 and 6 hours,1,0.888,115,135,20,0.12
103,104,Bl2,Bl2-4,Private,,2019-01-29 17:25:00,17,2019-01-29 20:27:00,20.0,19.88,3.033333333333333,Jan,Tuesday,late afternoon (15-18),Between 3 and 6 hours,1,0.754,104,122,18,0.24
104,105,Bl2,Bl2-1,Private,,2019-01-29 19:25:00,19,2019-01-29 21:06:00,21.0,5.86,1.6833333333333333,Jan,Tuesday,early evening (18-21),Less than 3 hours,1,0.928,116,126,10,0.08
105,106,Bl2,Bl2-4,Private,,2019-01-29 20:27:00,20,2019-01-30 08:56:00,8.0,1.14,12.483333333333333,Jan,Tuesday,early evening (18-21),Between 12 and 15 hours,1,0.986,122,197,75,0.02
107,108,Bl2,Bl2-1,Private,,2019-01-30 07:47:00,7,2019-01-30 11:44:00,11.0,11.0,3.95,Jan,Wednesday,early morning (6-9),Between 3 and 6 hours,1,0.864,46,70,24,0.14
108,109,UT9,Share-14,Shared,Shared-12,2019-01-30 09:03:00,9,2019-01-30 13:17:00,13.0,15.47,4.233333333333333,Jan,Wednesday,late morning (9-12),Between 3 and 6 hours,1,0.809,54,79,25,0.2
109,110,Bl2,Bl2-1,Private,,2019-01-30 16:47:00,16,2019-01-30 20:19:00,20.0,6.9,3.533333333333333,Jan,Wednesday,late afternoon (15-18),Between 3 and 6 hours,1,0.915,100,121,21,0.08
110,111,UT9,Share-12,Shared,Shared-12,2019-01-30 19:06:00,19,2019-01-31 06:30:00,6.0,31.06,11.4,Jan,Wednesday,early evening (18-21),Between 9 and 12 hours,1,0.616,114,183,69,0.38
111,112,UT9,Share-14,Shared,Shared-12,2019-01-31 09:23:00,9,2019-01-31 11:47:00,11.0,8.82,2.4,Jan,Thursday,late morning (9-12),Less than 3 hours,1,0.891,56,70,14,0.1
112,113,AsO2,Share-4,Shared,Shared-5,2019-01-31 13:04:00,13,2019-01-31 15:03:00,15.0,3.24,1.9833333333333334,Jan,Thursday,early afternoon (12-15),Less than 3 hours,1,0.96,78,90,12,0.04
113,114,UT9,Share-6,Shared,Shared-12,2019-01-31 13:49:00,13,2019-01-31 17:34:00,17.0,20.18,3.75,Jan,Thursday,early afternoon (12-15),Between 3 and 6 hours,1,0.75,82,105,23,0.24
114,115,Bl2,Bl2-2,Private,,2019-01-31 15:20:00,15,2019-01-31 18:03:00,18.0,9.52,2.716666666666667,Jan,Thursday,late afternoon (15-18),Less than 3 hours,1,0.882,92,108,16,0.12
115,116,UT9,Share-14,Shared,Shared-11,2019-01-31 15:41:00,15,2019-01-31 17:53:00,17.0,8.05,2.2,Jan,Thursday,late afternoon (15-18),Less than 3 hours,1,0.9,94,107,13,0.1
116,117,Bl2,Share-8,Shared,Shared-6,2019-01-31 16:25:00,16,2019-01-31 18:27:00,18.0,12.37,2.033333333333333,Jan,Thursday,late afternoon (15-18),Less than 3 hours,1,0.847,98,110,12,0.16
117,118,AsO2,AsO2-1,Private,,2019-01-31 18:34:00,18,2019-02-01 07:04:00,7.0,7.2,12.5,Jan,Thursday,early evening (18-21),Between 12 and 15 hours,1,0.911,111,186,75,0.08
118,119,UT9,Share-14,Shared,Shared-12,2019-01-31 20:14:00,20,2019-02-01 07:33:00,7.0,18.81,11.316666666666666,Jan,Thursday,early evening (18-21),Between 9 and 12 hours,1,0.767,121,189,68,0.24
120,121,Bl2,Bl2-1,Private,,2019-02-01 15:45:00,15,2019-02-01 18:06:00,18.0,8.43,2.35,Feb,Friday,late afternoon (15-18),Less than 3 hours,1,0.896,94,108,14,0.1
121,122,UT9,Share-14,Shared,Shared-12,2019-02-01 16:20:00,16,2019-02-01 20:00:00,20.0,13.48,3.6666666666666665,Feb,Friday,late afternoon (15-18),Between 3 and 6 hours,1,0.833,98,120,22,0.16
123,124,Bl2,Bl2-2,Shared,Shared-6,2019-02-01 18:09:00,18,2019-02-01 19:45:00,19.0,5.65,1.6,Feb,Friday,early evening (18-21),Less than 3 hours,1,0.93,108,118,10,0.06
124,125,Bl2,Bl2-1,Private,,2019-02-01 18:41:00,18,2019-02-02 11:49:00,11.0,7.95,17.133333333333333,Feb,Friday,early evening (18-21),Between 15 and 18 hours,1,0.902,112,214,102,0.1
125,126,AdO3,AdO3-2,Private,,2019-02-01 22:22:00,22,2019-02-02 12:56:00,12.0,11.78,14.566666666666666,Feb,Friday,late evening (21-midnight),Between 12 and 15 hours,1,0.854,134,221,87,0.14
126,127,AsO2,Share-4,Shared,Shared-5,2019-02-02 09:03:00,9,2019-02-02 14:26:00,14.0,6.1,5.383333333333334,Feb,Saturday,late morning (9-12),Between 3 and 6 hours,1,0.925,54,86,32,0.08
127,128,UT9,Share-12,Shared,Shared-12,2019-02-02 17:47:00,17,2019-02-03 08:31:00,8.0,26.88,14.733333333333333,Feb,Saturday,late afternoon (15-18),Between 12 and 15 hours,1,0.668,106,195,89,0.34
128,129,AsO2,AsO2-1,Private,,2019-02-02 18:12:00,18,2019-02-02 21:45:00,21.0,12.68,3.55,Feb,Saturday,early evening (18-21),Between 3 and 6 hours,1,0.843,109,130,21,0.16
129,130,Bl2,Share-8,Shared,Shared-6,2019-02-03 00:41:00,0,2019-02-03 09:52:00,9.0,20.36,9.183333333333334,Feb,Sunday,early night (midnight-3),Between 9 and 12 hours,1,0.748,4,59,55,0.26
130,131,Bl2,Bl2-2,Shared,Shared-6,2019-02-03 16:58:00,16,2019-02-03 18:46:00,18.0,6.5,1.8,Feb,Sunday,late afternoon (15-18),Less than 3 hours,1,0.92,101,112,11,0.08
131,132,Bl2,Bl2-2,Private,,2019-02-03 19:13:00,19,2019-02-03 20:28:00,20.0,4.44,1.25,Feb,Sunday,early evening (18-21),Less than 3 hours,1,0.945,115,122,7,0.06
132,133,Bl2,Bl2-2,Private,,2019-02-03 21:25:00,21,2019-02-04 08:12:00,8.0,8.63,10.783333333333333,Feb,Sunday,late evening (21-midnight),Between 9 and 12 hours,1,0.893,128,193,65,0.1
134,135,Bl2,Bl2-5,Private,,2019-02-04 17:37:00,17,2019-02-04 20:18:00,20.0,9.62,2.683333333333333,Feb,Monday,late afternoon (15-18),Less than 3 hours,1,0.881,105,121,16,0.12
136,137,AsO2,Share-4,Shared,Shared-5,2019-02-04 18:30:00,18,2019-02-04 20:03:00,20.0,5.33,1.55,Feb,Monday,early evening (18-21),Less than 3 hours,1,0.934,111,120,9,0.06
138,139,UT9,Share-14,Shared,Shared-12,2019-02-04 22:35:00,22,2019-02-05 05:17:00,5.0,17.91,6.7,Feb,Monday,late evening (21-midnight),Between 6 and 9  hours,1,0.779,135,175,40,0.22
139,140,AsO2,Share-4,Shared,Shared-5,2019-02-05 17:05:00,17,2019-02-05 18:15:00,18.0,3.94,1.1666666666666667,Feb,Tuesday,late afternoon (15-18),Less than 3 hours,1,0.951,102,109,7,0.04
140,141,AsO2,AsO2-1,Private,,2019-02-05 17:21:00,17,2019-02-06 07:26:00,7.0,16.56,14.083333333333334,Feb,Tuesday,late afternoon (15-18),Between 12 and 15 hours,1,0.795,104,188,84,0.2
141,142,AsO2,AsO2-1,Private,,2019-02-06 19:47:00,19,2019-02-07 06:28:00,6.0,14.65,10.683333333333334,Feb,Wednesday,early evening (18-21),Between 9 and 12 hours,1,0.819,118,182,64,0.18
142,143,UT9,Share-12,Shared,Shared-12,2019-02-07 11:30:00,11,2019-02-07 16:19:00,16.0,28.39,4.816666666666666,Feb,Thursday,late morning (9-12),Between 3 and 6 hours,1,0.649,69,97,28,0.36
143,144,AsO2,Share-4,Shared,Shared-5,2019-02-08 16:58:00,16,2019-02-08 19:49:00,19.0,0.27,2.85,Feb,Friday,late afternoon (15-18),Less than 3 hours,1,0.997,101,118,17,0.0
144,145,AsO2,Share-4,Shared,Shared-5,2019-02-08 21:31:00,21,2019-02-09 09:55:00,9.0,6.88,12.4,Feb,Friday,late evening (21-midnight),Between 12 and 15 hours,1,0.915,129,203,74,0.08
145,146,AsO2,Share-4,Shared,Shared-5,2019-02-09 14:54:00,14,2019-02-10 09:28:00,9.0,6.44,18.566666666666666,Feb,Saturday,early afternoon (12-15),More than 18 hours,1,0.92,89,200,111,0.08
146,147,UT9,Share-12,Shared,Shared-12,2019-02-09 15:11:00,15,2019-02-10 03:00:00,3.0,28.55,11.816666666666666,Feb,Saturday,late afternoon (15-18),Between 9 and 12 hours,1,0.647,91,162,71,0.36
147,148,AsO2,AsO2-1,Private,,2019-02-10 15:42:00,15,2019-02-10 22:17:00,22.0,12.18,6.583333333333333,Feb,Sunday,late afternoon (15-18),Between 6 and 9  hours,1,0.849,94,133,39,0.16
148,149,AsO2,AsO2-1,Private,,2019-02-11 16:11:00,16,2019-02-12 11:29:00,11.0,12.78,19.3,Feb,Monday,late afternoon (15-18),More than 18 hours,1,0.842,97,212,115,0.16
149,150,UT9,Share-12,Shared,Shared-12,2019-02-11 20:47:00,20,2019-02-12 07:40:00,7.0,26.67,10.883333333333333,Feb,Monday,early evening (18-21),Between 9 and 12 hours,1,0.67,124,190,66,0.32
150,151,AsO2,AsO2-1,Private,,2019-02-12 16:49:00,16,2019-02-12 22:01:00,22.0,14.42,5.2,Feb,Tuesday,late afternoon (15-18),Between 3 and 6 hours,1,0.822,100,132,32,0.18
151,152,AsO2,AsO2-1,Private,,2019-02-13 18:20:00,18,2019-02-14 07:14:00,7.0,14.38,12.9,Feb,Wednesday,early evening (18-21),Between 12 and 15 hours,1,0.822,110,187,77,0.18
153,154,UT9,Share-14,Shared,Shared-12,2019-02-13 22:56:00,22,2019-02-14 06:57:00,6.0,16.82,8.016666666666667,Feb,Wednesday,late evening (21-midnight),Between 6 and 9  hours,1,0.792,137,185,48,0.2
154,155,UT9,Share-12,Shared,Shared-12,2019-02-14 16:07:00,16,2019-02-14 17:40:00,17.0,9.53,1.55,Feb,Thursday,late afternoon (15-18),Less than 3 hours,1,0.882,96,106,10,0.12
155,156,AsO2,AsO2-1,Private,,2019-02-14 16:45:00,16,2019-02-15 02:30:00,2.0,10.94,9.75,Feb,Thursday,late afternoon (15-18),Between 9 and 12 hours,1,0.865,100,159,59,0.14
